"year","country_of_origin","country_of_origin_iso","country_of_asylum","country_of_asylum_iso","refugees_under_unhcr_mandate","asylum_seekers","IDPs.of.concern.to.UNHCR","Other.people.in.need.of.international.protection","Stateless.persons","Host.Community","Others.of.concern","country_code","region","sub_region","latitude_origin","longitude_origin","latitude_asylum","longitude_asylum"
2001,"Afghanistan","AFG","Malaysia","MYS",77,45,0,"-",0,0,0,"AF","Asia","Southern Asia",33.93911,67.709953,4.210484,101.975766
2001,"Indonesia","IDN","Malaysia","MYS",83,82,0,"-",0,0,0,"ID","Asia","South-eastern Asia",-0.789275,113.921327,4.210484,101.975766
2001,"Iran (Islamic Rep. of)","IRN","Malaysia","MYS",8,0,0,"-",0,0,0,"IR","Asia","Southern Asia",32.427908,53.688046,4.210484,101.975766
2001,"Iraq","IRQ","Malaysia","MYS",11,0,0,"-",0,0,0,"IQ","Asia","Western Asia",33.223191,43.679291,4.210484,101.975766
2001,"Myanmar","MMR","Malaysia","MYS",5151,106,0,"-",0,0,0,"MM","Asia","South-eastern Asia",21.913965,95.956223,4.210484,101.975766
2001,"Philippines","PHL","Malaysia","MYS",45100,0,0,"-",0,0,0,"PH","Asia","South-eastern Asia",12.879721,121.774017,4.210484,101.975766
2001,"Somalia","SOM","Malaysia","MYS",21,0,0,"-",0,0,0,"SO","Africa","Sub-Saharan Africa",5.152149,46.199616,4.210484,101.975766
2001,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","Malaysia","MYS",5,0,0,"-",0,0,0,"RS","Europe","Southern Europe",44.016521,21.005859,4.210484,101.975766
2001,"Uzbekistan","UZB","Malaysia","MYS",0,5,0,"-",0,0,0,"UZ","Asia","Central Asia",41.377491,64.585262,4.210484,101.975766
2002,"Afghanistan","AFG","Malaysia","MYS",36,13,0,"-",0,0,0,"AF","Asia","Southern Asia",33.93911,67.709953,4.210484,101.975766
2002,"Burundi","BDI","Malaysia","MYS",5,6,0,"-",0,0,0,"BI","Africa","Sub-Saharan Africa",-3.373056,29.918886,4.210484,101.975766
2002,"Bangladesh","BGD","Malaysia","MYS",0,52,0,"-",0,0,0,"BD","Asia","Southern Asia",23.684994,90.356331,4.210484,101.975766
2002,"China","CHN","Malaysia","MYS",6,5,0,"-",0,0,0,"CN","Asia","Eastern Asia",35.86166,104.195397,4.210484,101.975766
2002,"Palestinian","PSE","Malaysia","MYS",0,5,0,"-",0,0,0,"PS","Asia","Western Asia",31.952162,35.233154,4.210484,101.975766
2002,"India","IND","Malaysia","MYS",0,5,0,"-",0,0,0,"IN","Asia","Southern Asia",20.593684,78.96288,4.210484,101.975766
2002,"Indonesia","IDN","Malaysia","MYS",144,1170,0,"-",0,0,0,"ID","Asia","South-eastern Asia",-0.789275,113.921327,4.210484,101.975766
2002,"Iran (Islamic Rep. of)","IRN","Malaysia","MYS",8,5,0,"-",0,0,0,"IR","Asia","Southern Asia",32.427908,53.688046,4.210484,101.975766
2002,"Iraq","IRQ","Malaysia","MYS",26,0,0,"-",0,0,0,"IQ","Asia","Western Asia",33.223191,43.679291,4.210484,101.975766
